id,title
s0163V1962,Self-Portrait with Pipe and Straw Hat
s0164V1962,Self-Portrait with Straw Hat
s0165V1962,Portrait of Léonie Rose Charbuy-Davy
s0166V1962,Portrait of Camille Roulin
s0167V1962,Portrait of Marcelle Roulin
s0168V1962,Pietà (after Delacroix)
s0169V1962,The Raising of Lazarus (after Rembrandt)
s0170V1962,The Woodcutter (after Millet)
s0171V1962,Thresher (after Millet)
s0172V1962,Peasant Woman Binding Sheaves (after Millet)
s0173V1962,The Sheaf-Binder (after Millet)
s0174V1962,Evening (after Millet)
s0175V1962,Snow-Covered Field with a Harrow (after Millet)
s0177V1962,Vase with Chinese Asters and Gladioli
s0178V1962,Glass with Yellow Roses
s0179V1962,Basket of Crocus Bulbs
s0180V1962,Basket of Pansies
s0181V1962,Three Novels
s0182V1962,Small Bottle with Peonies and Blue Delphiniums
s0183V1962,Flowerpot with Garlic Chives
s0184V1962,Sprig of Flowering Almond in a Glass
s0185V1962,Flame Nettle in a Flowerpot
s0186V1962,Café Table with Absinthe
s0187V1962,Roses
s0188V1962,Butterflies and Poppies
s0189V1962,Giant Peacock Moth
s0190V1962,Wild Roses
s0193V1962,Dish with Citrus Fruit
s0194V1962,Grapes
s0196V1962,Garden of the Asylum
s0197V1962,Wheatfield with Partridge
s0198V1962,The Reaper (after Millet)
s0199V1962,Plaster Cast of a Woman's Torso
s0200V1962,Plaster Cast of a Woman's Torso
s0201V1962,Torso of Venus
s0202V1962,Horse
s0257V1962,Portrait of Gauguin
s0343V1966,Head of a Woman
s0416N1990,View of the Sea at Scheveningen
s0417N1990,View of the Alpilles
s0452S1995,Woman Lifting Potatoes
s0548S2019,Peasant Burning Weeds
d0001V1962,Woman Preparing a Meal
d0002V1962,Seated Woman
d0003V1962,Young Man with a Pipe
d0004V1962,Woman Sewing
d0005V1962,Woman Sewing
d0006V1962,Woman Peeling Potatoes
d0007V1962,Woman Peeling Potatoes
d0008V1962,Head of a Woman
d0009V1962r,Verkoping van afbraak  en Verkoping van afbraak
d0009V1962v,Verkoping van afbraak  en Verkoping van afbraak
d0010V1962,Landscape with a Church
d0011V1962,Avenue of Poplars
d0012V1962r,"Studies van een zittend meisje, spierman en Venus  en Zittend meisje en Venus"
d0012V1962v,"Studies van een zittend meisje, spierman en Venus  en Zittend meisje en Venus"
d0013V1962,Idol
d0014V1962r,Idool  en Idool
d0014V1962v,Idool  en Idool
d0015V1962r,Idool  en Idool
d0015V1962v,Idool  en Idool
d0016V1962,Seated Man with a Beard
d0017V1962r,Kop van een man (vermoedelijk Theo van Gogh)  en Kop van een man met hoed
d0017V1962v,Kop van een man (vermoedelijk Theo van Gogh)  en Kop van een man met hoed
d0018V1962r,Pianist  en Contrabasspeler
d0018V1962v,Pianist  en Contrabasspeler
d0019V1962r,Klarinettist en piccolospeler  en Studie voor `Vrouw bij een wieg'
d0019V1962v,Klarinettist en piccolospeler  en Studie voor `Vrouw bij een wieg'
d0020V1962r,Violist op de rug gezien  en Violist van voren gezien
d0020V1962v,Violist op de rug gezien  en Violist van voren gezien
d0021V1962,Seated Female Nude
d0022V1962,Standing Female Nude Seen from the Side
d0023V1962,Standing Female Nude Seen from the Back
d0024V1962,Woman with a Mourning Shawl
d0025V1962r,Gezicht op Het Steen  en Twee vrouwen in een loge
d0025V1962v,Gezicht op Het Steen  en Twee vrouwen in een loge
d0026V1962,Couple Dancing
d0027V1962,Dance Hall
d0029V1962,Skeleton
d0030V1962r,Staand mannelijk naakt van voren gezien  en Koppen
d0030V1962v,Staand mannelijk naakt van voren gezien  en Koppen
d0031V1962r,Staand mannelijk en zittend vrouwelijk naakt  en Venustorso
d0031V1962v,Staand mannelijk en zittend vrouwelijk naakt  en Venustorso
d0032V1962,Shopping Street in Montmartre by Night
d0034V1962r,Venustorso  en Jonge slaaf
d0034V1962v,Venustorso  en Jonge slaaf
d0035V1962,Kneeling Ecorché
d0036V1962r,Venus met hoed  en Benen van een vrouw
d0036V1962v,Venus met hoed  en Benen van een vrouw
d0037V1962,Dying Slave and Figures at a Table
d0038V1962,Nude Woman Squatting over a Basin
d0040V1971,Head of a Man
d0041V1971,Head of an Old Man
d0042V1971,City View
d0045V1962,Standing Male Nude Seen from the Front
d0047V1969,A Sunday in Eindhoven
d0048V1962r,Gedrongen man  en Man en vrouw aan de maaltijd
d0048V1962v,Gedrongen man  en Man en vrouw aan de maaltijd
d0049V1962,Stooks and a Peasant Stacking Sheaves
d0050V1962,Stooks and a Mill
d0051V1962,Wheatfield with a Stook and a Mill
d0052V1962,Wheatfield with Stooks and a Mill
d0053V1962,Landscape with Cottages and a Mill
d0054V1962,Landscape in Stormy Weather
d0056V1962r,Arm  en Arm
d0056V1962v,Arm  en Arm
d0057V1962,View of Het Steen
d0058V1962,Portrait of a Woman
d0059V1962,Standing Male Nude Seen from the Front
d0060V1962,Standing Female Nude Seen from the Front
d0061V1962,French Peasant Woman Suckling Her Baby (after Dalou)
d0062V1962,Standing and Sitting Male Nude (after Bargue)
d0063V1962,Digger
d0064V1962,Digger
d0065V1962,Old Man in a Tailcoat
d0066V1962,Head of a Woman
d0067V1962,Head of a Woman
d0068V1962,Head of a Fisherman with a Sou'wester
d0069V1962,"Fisherman with Sou'wester, Pipe and Coal Pan"
d0070V1962,Head of a Fisherman with a Fringe of Beard and a Sou'wester
d0071V1962,Woman with a Child on her Lap
d0072V1962,Girl Kneeling by a Cradle
d0073V1962,Head of a Woman
d0074V1962,"Woman Sewing, with a Girl"
d0075V1962,Woman with a Broom
d0076V1962,Woman with a Broom
d0077V1964,Old Man Drinking Coffee
d0078V1962r,Twee handen  en Ketel boven het vuur en een hut bij avond
d0078V1962v,Twee handen  en Ketel boven het vuur en een hut bij avond
d0079V1962,Weaver
d0080V1962,Weaver
d0081V1962,Weaver
d0082V1962,"Weaver, with a Baby in a High Chair"
d0083V1962,Weaver
d0084V1962,Weaver
d0085V1962,Weaver
d0086V1962,Winter Landscape with Hut and Figure
d0087V1962,Melancholy
d0088V1962,The Vicarage Garden
d0089V1962,Head of a Young Man with a Pipe
d0090V1962r,Twee handen en een kop van een vrouw  en Twee studies van een hut
d0090V1962v,Twee handen en een kop van een vrouw  en Twee studies van een hut
d0091V1962,Two Hands
d0092V1969,Head of a Woman
d0093V1962,Lap with Hands and a Bowl
d0094V1962r,"Drie handen, twee met mes  en Kop van een jongeman"
d0094V1962v,"Drie handen, twee met mes  en Kop van een jongeman"
d0095V1962r,Vier handen  en Lamp voor een raam
d0095V1962v,Vier handen  en Lamp voor een raam
d0096V1962r,"Twee handen met een stok  en Vier handen, twee met kom"
d0096V1962v,"Twee handen met een stok  en Vier handen, twee met kom"
d0097V1962,Two Hands
d0098V1962r,Drie handen  en Drie handen
d0098V1962v,Drie handen  en Drie handen
d0099V1962,Two Hands with a Hearth Shovel
d0100V1962r,Schoot met handen  en Drie handen
d0100V1962v,Schoot met handen  en Drie handen
d0101V1962,Head of a Woman
d0102V1962,Head of a Woman
d0103V1962r,Vrouw met omslagdoek  en Vrouw met omslagdoek
d0103V1962v,Vrouw met omslagdoek  en Vrouw met omslagdoek
d0104V1962,Woman with a Shawl
d0105V1962,Pine Trees in the Fen
d0106V1962,Peasant Woman Digging
d0107V1962,Peasant Woman Lifting Potatoes
d0108V1962,Peasant Woman Lifting Potatoes
d0109V1962r,Aardappelrooiende boerin  en Aardappelrooiende boerin
d0109V1962v,Aardappelrooiende boerin  en Aardappelrooiende boerin
d0110V1962,Peasant Woman Lifting Potatoes
d0111V1962,Peasant Woman Lifting Potatoes
d0112V1962,Woman by a Hearth
d0113V1962,Woman by a Hearth
d0114V1962,Woman Winding Yarn
d0115V1962r,Deel van een portret van Anthon van Rappard  en Studies van figuren met takkenbossen
d0115V1962v,Deel van een portret van Anthon van Rappard  en Studies van figuren met takkenbossen
d0116V1962r,Drie studies van een vrouw met omslagdoek  en Vrouw met omslagdoek
d0116V1962v,Drie studies van een vrouw met omslagdoek  en Vrouw met omslagdoek
d0117V1962,Peasant Lifting Beet
d0118V1962,Digger
d0119V1962,Man Breaking Up the Soil
d0120V1962,Peasant Lifting Potatoes
d0121V1962,Peasant Lifting Potatoes
d0122V1962,Digger
d0123V1962r,Korenveld met maaier en schovenbindende boerin  en Boer met gaffel
d0123V1962v,Korenveld met maaier en schovenbindende boerin  en Boer met gaffel
d0124V1962r,Straat met figuren bij avond  en Man op een bank
d0124V1962v,Straat met figuren bij avond  en Man op een bank
d0126V1969,Park with Figures
d0127V1969,Jardin du Luxembourg
d0130V1971,Figures in a Park
d0131V1969,View of Montmartre
d0133V1962,Study for 'Reclining Female Nude'
d0134V1962,Woman Walking Her Dog ('A La Villette')
d0135V1962r,Man en vrouw op de rug gezien  en Blad met schetsen
d0135V1962v,Man en vrouw op de rug gezien  en Blad met schetsen
d0136V1962r,Venustorso  en venustorso
d0136V1962v,Venustorso  en venustorso
d0137V1962r,Venustorso  en Venustorso en landschap
d0137V1962v,Venustorso  en Venustorso en landschap
d0138V1962r,Venustorso  en Mannentorso en Studie voor `Portret van vrouw met bloemen'
d0138V1962v,Venustorso  en Mannentorso en Studie voor `Portret van vrouw met bloemen'
d0139V1962,Woman Pianist and a Violinist
d0140V1962r,Venustorso  en Venustorso
d0140V1962v,Venustorso  en Venustorso
d0142V1962r,Studie van de verdedigingswerken  en Studie van de verdedigingswerken
d0142V1962v,Studie van de verdedigingswerken  en Studie van de verdedigingswerken
d0143V1962,Couple Out for a Stroll
d0146V1962,Chair by a Fireplace
d0147V1962,Portrait of Père Tanguy
d0148V1962,Entrance to the Moulin de la Galette
d0150V1971r,Menu van een restaurant  en Geschubde inktzwam
d0150V1971v,Menu van een restaurant  en Geschubde inktzwam
d0151V1962,The Hill of Montmartre
d0152V1962r,Kerkuil van opzij gezien  en Kerkuil van voren gezien
d0152V1962v,Kerkuil van opzij gezien  en Kerkuil van voren gezien
d0153V1970,Apartment Blocks and Miscellaneous Studies
d0154V1962,View of Paris with Notre-Dame and the Panthéon
d0155V1962,View of Paris with the Hôtel de Ville and the Tour Saint-Jacques
d0156V1962r,Voeten  en Parkgezicht
d0156V1962v,Voeten  en Parkgezicht
d0157V1962,Standing Man Seen from the Back
d0158V1962,Torso of Venus
d0159V1962r,Torso of Venus
d0159V1962v,Venus
d0160V1962r,Staand vrouwelijk naakt op de rug gezien  en Idool en schetsen van Venus
d0160V1962v,Staand vrouwelijk naakt op de rug gezien  en Idool en schetsen van Venus
d0161V1962,Houses in Les Saintes-Maries-de-la-Mer
d0162V1962,Beach at Les Saintes-Maries-de-la-Mer
d0163V1962,Montmajour
d0164V1962,The Ruins of Montmajour
d0165V1962,Seated Woman
d0166V1962r,Landschap met hut  en Laan in een park
d0166V1962v,Landschap met hut  en Laan in een park
d0167V1962,Heath
d0168V1962,Landscape with Path and Pollard Willows
d0169V1962r,Buste van een jonge krijger  en Zittend mannelijk naakt op de rug gezien
d0169V1962v,Buste van een jonge krijger  en Zittend mannelijk naakt op de rug gezien
d0172V1962,Reaper
d0173V1962r,Maaier  en Korenschelven en een molen
d0173V1962v,Maaier  en Korenschelven en een molen
d0174V1967,Old Woman with a Shawl and a Walking Stick
d0175V1962,Garden of a Bathhouse
d0176V1962,Vestibule in the Asylum
d0177V1962,Wild Vegetation
d0178V1962,Peasant Woman Binding Sheaves
d0179V1962,Digger in a Potato Field February
d0180V1962r,Venustorso  en Venustorso
d0180V1962v,Venustorso  en Venustorso
d0181V1962,Woodcutter
d0182V1962,View of Scheveningen
d0183V1962,Old Man with a Top Hat
d0185V1962,Giant Peacock Moth
d0186V1962r,Winterlandschap met wandelende figuren  en Veld met zaaier
d0186V1962v,Winterlandschap met wandelende figuren  en Veld met zaaier
d0187V1962r,Studies van een zaaier en een hand  en Schetsen van figuren en studies van een hand
d0187V1962v,Studies van een zaaier en een hand  en Schetsen van figuren en studies van een hand
d0188V1962r,Landschap met figuren met kruiwagens  en Studies van werkende figuren
d0188V1962v,Landschap met figuren met kruiwagens  en Studies van werkende figuren
d0189V1962r,Figuren bij de haard  en Studies van een hand en een spitter
d0189V1962v,Figuren bij de haard  en Studies van een hand en een spitter
d0190V1962r,Staand mannelijk naakt en zittende figuur (naar Bargue)  en Interieur met tafels en stoelen en schets van De slaapkamer
d0190V1962v,Staand mannelijk naakt en zittende figuur (naar Bargue)  en Interieur met tafels en stoelen en schets van De slaapkamer
d0191V1969,Chair by a Fireplace
d0192V1962r,Stoel  en Studie van paarden en boeren
d0192V1962v,Stoel  en Studie van paarden en boeren
d0193V1962,The Park and Pond in Front of the Yellow House
d0194V1969,The Walled Wheatfield
d0195V1962r,Rijtuig en figuren op een weg  en Spittende boer
d0195V1962v,Rijtuig en figuren op een weg  en Spittende boer
d0196V1962r,Schets van pijnbomen  en Vier mannen op een weg
d0196V1962v,Schets van pijnbomen  en Vier mannen op een weg
d0197V1962r,Winterlandschap met werkende figuren  en Landschap met cipressen en studies van figuren
d0197V1962v,Winterlandschap met werkende figuren  en Landschap met cipressen en studies van figuren
d0198V1962r,Schetsen van aan tafel zittende figuren  en Schetsen van zittende figuren
d0198V1962v,Schetsen van aan tafel zittende figuren  en Schetsen van zittende figuren
d0199V1971r,"Figuren op het strand en een bord, kom en lepel  en Figuren op het strand"
d0199V1971v,"Figuren op het strand en een bord, kom en lepel  en Figuren op het strand"
d0200V1962r,Studies van een hand  en Studies van een dode mus
d0200V1962v,Studies van een hand  en Studies van een dode mus
d0201V1971r,Egyptische kop en figuurstudie  en Egyptische kop
d0201V1971v,Egyptische kop en figuurstudie  en Egyptische kop
d0202V1962,Two Sowers
d0203V1962,Head of a Woman
d0204V1962,Woman Cutting Bread
d0205V1962r,Vier gierzwaluwen en schetsen van landschappen  en Gierzaluw
d0205V1962v,Vier gierzwaluwen en schetsen van landschappen  en Gierzaluw
d0206V1962,The Grote Markt
d0207V1962,Woman by a Hearth
d0208V1962,Blossoming PeachTrees
d0209V1969r,Kastanjeblad met peul en landschap met cipressen  en Gezicht op Saint-Rémy en schetsen van een perspectiefraam
d0209V1969v,Kastanjeblad met peul en landschap met cipressen  en Gezicht op Saint-Rémy en schetsen van een perspectiefraam
d0210V1962r,Landschap met oogstende boeren  en Landschap met oogstende boerinnen
d0210V1962v,Landschap met oogstende boeren  en Landschap met oogstende boerinnen
d0211V1971r,Dennenappel  en Studies van een hand
d0211V1971v,Dennenappel  en Studies van een hand
d0212V1962r,Paard met rijtuig  en Zittend mannelijk naakt (naar Bargue)
d0212V1962v,Paard met rijtuig  en Zittend mannelijk naakt (naar Bargue)
d0213V1962,Periwinkle
d0214V1962r,Op het land werkende boerin  en Twee boerinnen op het land
d0214V1962v,Op het land werkende boerin  en Twee boerinnen op het land
d0215V1969,Landscape with River
d0216V1971,Landscape with the River Oise
d0217V1971r,Schetsen van dieren en kinderen  en Schetsen van vrouwen die de was doen
d0217V1971v,Schetsen van dieren en kinderen  en Schetsen van vrouwen die de was doen
d0218V1971r,Egyptische kop  en Boer met een zeis
d0218V1971v,Egyptische kop  en Boer met een zeis
d0219V1962,Landscape with Houses and Woman with a Spade
d0220V1962r,Dead-End Street with Houses
d0221V1962v,Village Street
d0223V1962,Trees in the Garden of the Asylum
d0224V1962,Olive Grove
d0225V1962,Olive Trees with the Alpilles in the Background
d0226V1962,Stone Bench in the Garden of the Asylum
d0227V1962,Field with Sheaves of Wheat
d0228V1962,Gardens on Montmartre and the Blute-Fin Windmill
d0229V1962r,Landschap met huizen en twee spittende mannen  en Interieur met vijf figuren rond een tafel
d0229V1962v,Landschap met huizen en twee spittende mannen  en Interieur met vijf figuren rond een tafel
d0230V1962,Pine Trees Along a Path
d0231V1974r,Wandelend paar met kind op een weg in de regen  en Interieur met drie figuren bij een tafel
d0231V1974v,Wandelend paar met kind op een weg in de regen  en Interieur met drie figuren bij een tafel
d0232V1962,Pine Trees and Wall in the Garden of the Asylum
d0233V1962,Study of a Tree Trunk and Clouds
d0234V1962,Cloud Study
d0235V1962r,Winterlandschap met wandelend paar  en Interieur met twee etende figuren
d0235V1962v,Winterlandschap met wandelend paar  en Interieur met twee etende figuren
d0236V1962r,Twee mannen op een weg  en Twee spittende boerinnen
d0236V1962v,Twee mannen op een weg  en Twee spittende boerinnen
d0237V1962r,Winterlandschap met figuren  en Landschap met huizen en twee mannen met een schop
d0237V1962v,Winterlandschap met figuren  en Landschap met huizen en twee mannen met een schop
d0238V1962r,Wandelend paar op een weg  en Drie etende figuren
d0238V1962v,Wandelend paar op een weg  en Drie etende figuren
d0239V1971r,Egyptische kop en figuurstudie  en Bukkende man
d0239V1971v,Egyptische kop en figuurstudie  en Bukkende man
d0240V1962r,Drie mannen met schoppen op een weg in de regen  en Landschap met een huis en twee mannen
d0240V1962v,Drie mannen met schoppen op een weg in de regen  en Landschap met een huis en twee mannen
d0241V1962r,Studies van figuren  en Studies van werkende en etende figuren
d0241V1962v,Studies van figuren  en Studies van werkende en etende figuren
d0242V1962r,Studies van spitters  en Boerderijen en studies van spitters
d0242V1962v,Studies van spitters  en Boerderijen en studies van spitters
d0243V1969r,Schets van een vrouw aan tafel en een staande vrouw  en Schetsen van een man en een paard
d0243V1969v,Schets van een vrouw aan tafel en een staande vrouw  en Schetsen van een man en een paard
d0244V1969r,"Schetsen van een man en van een vrouw op een weg  en Schets van vrouwen, bezig met de was"
d0244V1969v,"Schetsen van een man en van een vrouw op een weg  en Schets van vrouwen, bezig met de was"
d0245V1962r,Studies of a Foot ; Study of Horses and a Peasant
d0245V1962v,Studies of a Foot ; Study of Horses and a Peasant
d0246V1962,Studies of a Hand
d0247V1962,Study of a Hand
d0248V1969r,Schetsen van een paard met huifkar en van een baby in een kinderwagen  en Schets van werkende vrouwen
d0248V1969v,Schetsen van een paard met huifkar en van een baby in een kinderwagen  en Schets van werkende vrouwen
d0249V1969r,Egyptische kop  en Egyptische kop
d0249V1969v,Egyptische kop  en Egyptische kop
d0250V1962r,Stoel en handenstudie  en Berglandschap achter het ommuurde korenveld
d0250V1962v,Stoel en handenstudie  en Berglandschap achter het ommuurde korenveld
d0251V1969,The Walled Wheatfield
d0252V1969,The Walled Wheatfield
d0253V1971,The Walled Wheatfield
d0254V1962,The Walled Wheatfield with Pruned Tree
d0255V1962,Pine Trees and Wall in the Garden of the Asylum
d0256V1962,(Pine) Trees and Wall in the Garden of the Asylum
d0257V1971,Pine Trees and Wall in the Garden of the Asylum
d0258V1962,Road with Trees
d0259V1962,Pine Trees and Wall in the Garden of the Asylum
d0260V1971,Tree and Wall in the Garden of the Asylum
d0261V1969,Landscape with Pine Trees
d0262V1962r,Bomen en muur in de tuin van de inrichting  en Bomen in de tuin van de inrichting
d0262V1962v,Bomen en muur in de tuin van de inrichting  en Bomen in de tuin van de inrichting
d0263V1962,Trees and Wall in the Garden of the Asylum
d0264V1962r,Boom in de tuin van de inrichting  en Bomen en muur in de tuin van de inrichting
d0264V1962v,Boom in de tuin van de inrichting  en Bomen en muur in de tuin van de inrichting
d0265V1962,"Trees, Stone Bench and Fountain in the Garden of the Asylum"
d0266V1962,Trees Along the River Oise
d0267V1971,Head of a Woman
d0268V1971,Head of a Woman
d0269V1962,Head of a Woman
d0270V1962,Head of a Woman
d0271V1969r,Kop van een vrouw  en Potloodkrabbels en schets van meerdere figuren
d0271V1969v,Kop van een vrouw  en Potloodkrabbels en schets van meerdere figuren
d0272V1971,Head of a Woman
d0273V1971,Head of a Woman
d0274V1962,Head of a Man
d0275V1969,Head of a Man
d0276V1969,Scheveningen Woman
d0279V1967,Boy with a Cap and Clogs
d0283V1962r,Vrouw met riek in een winters landschap  en Figuren in een winters landschap
d0283V1962v,Vrouw met riek in een winters landschap  en Figuren in een winters landschap
d0284V1962r,Kerkhof in de winter  en Landschap met kerk
d0284V1962v,Kerkhof in de winter  en Landschap met kerk
d0285V1962,Churchyard in Winter
d0286V1962,Stocky Man
d0287V1962,"Lange Vijverberg, The Hague"
d0288V1962,Driveway
d0289V1962,Old Woman Asleep (after Rops)
d0290V1962,Canal
d0291V1962,Ditch
d0292V1972,"View of Royal Road, Ramsgate"
d0296V1972,Head of a Man
d0302V1972r,Zaaier  en Pricilla
d0302V1972v,Zaaier  en Pricilla
d0303V1972r,Copulerend paar  en Fragment van Venus
d0303V1972v,Copulerend paar  en Fragment van Venus
d0307V1972,Vicarage and Church at Etten
d0308V1972,Head of a Woman
d0310V1970,Head of a Woman
d0312V1972,Sketch of Figures
d0313V1970r,Grote nachtpauwoog en papaverzaaddoos  en Grote nachtpauwoog en kever
d0313V1970v,Grote nachtpauwoog en papaverzaaddoos  en Grote nachtpauwoog en kever
d0331V1962r,Stadhuis van Auvers en kop van een man  en Landschappen met huizen
d0331V1962v,Stadhuis van Auvers en kop van een man  en Landschappen met huizen
